Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Bulgaria,BGR,78040352522.07332,84270564669.70934,94176330201.71506,106149239155.87344,121823689892.41965,138176205410.62152,151953970515.74393,171471864878.72675,203570418727.2256,204409068777.76093,211582972171.33054,223822023499.36844,227282097915.88666,229843457611.31308,239605755858.70605,232042904567.10812
Burkina Faso,BFA,18284801208.777927,19676523744.6552,20825458427.49386,24066184882.66949,26947660642.416996,30566528929.86586,32405744770.987385,35727349275.72568,41140880476.715485,43647597633.25632,47903731954.67528,53628488961.194916,58591303036.349945,64119421313.91997,66838126848.44174,67684327750.94144
Burundi,BDI,6266889930.883791,6278987854.504105,6586252597.421384,6630084440.969174,7079391219.602726,7536720049.268782,8356040648.232137,8929281925.10519,9691751347.269537,9422720743.619776,10285736656.31516,11022572521.873575,11743287583.21112,12807982299.716316,13826399160.050268,15226318504.190786
Cabo Verde,CPV,2848040276.0203395,2963748227.040134,3137135930.970981,3602052618.96516,4140598875.297143,4492904664.134329,4970060535.312145,6321281480.234507,7218694668.426234,7355468374.405975,7509093753.698149,8168026274.360665,8562330441.656014,9164387361.121891,8978432825.760685,8798635975.86563
Cambodia,KHM,24663238882.77982,26921182455.11258,28877167005.819984,32797223747.099815,37170771121.989716,43243150451.989586,49558071786.30938,56190994740.05876,63515441897.57878,67324102869.35012,73284948384.5682,81435642354.46318,92955175872.61911,102972021842.40302,112080963092.76184,122716543468.19183
Cameroon,CMR,61733300839.91286,62801244252.319214,67296745502.526024,77795624297.59715,87976726020.98235,90001520462.1239,92381735282.18028,99404465423.25143,108451220881.30507,113878642309.56163,116575845373.95721,123544034405.72617,127147610064.51945,139615655091.62396,150887145053.944,153135008830.32843
Canada,CAN,2368442709270.947,2406148094002.3335,2478009162718.623,2726033354782.105,3077636004742.1567,3457423971555.219,3829405518432.0054,4187366850509.1978,4463073169287.202,4155391843370.1406,4508460094227.47,4873167674069.812,5111428983695.57,5289698596105.157,5321683291956.745,4914907457275.513
Cayman Islands,CYM,8504649526.431122,5983831952.668654,-6024860633.493746,6184210577.856711,4457355202.232379,5627645825.926625,9798557550.40791,10615338640.4171,14456446787.72345,9249572296.884779,36391497627.99073,42961396243.16129,32986249394.430336,28357811501.14517,27399701011.783504,80834290469.26064
Central African Republic,CAF,5146861933.587839,5325983970.812544,5780626572.668395,5871198654.724704,6464810142.363621,6734118470.425199,7199811603.670002,7810602915.304262,8384718661.606979,8671408529.855839,9233399548.408302,9851323703.48299,10524338770.24884,7290285298.774867,7569856746.698545,7798365386.97877
Chad,TCD,10317372404.174286,11641230330.554129,12849449743.521568,14192690028.969204,20305612970.42391,26245788208.13955,28310732941.89458,32157943146.28372,35178745124.23358,38934536857.484634,44736966048.026405,47110024137.66614,48666960496.36581,48722214520.36848,53280448705.55171,51572904902.6473
Channel Islands,CHI,6439895510.154472,6233098013.295625,6663864522.986669,7332445518.082856,8553852734.208027,8827484626.311296,9676391042.50617,11514836367.57244,157465.21112968723,9100972024.720282,8902286240.511925,9649535092.014433,9455560783.989597,9594383007.501488,10528721493.263342,10110194892.420952
Chile,CHL,300589156456.63794,296413394258.11774,296907799939.39154,314499691997.177,359394222983.5373,414663083912.789,505972118881.17554,572937205052.6597,610051508399.0731,598565286952.2863,697967075575.2532,793009095059.7374,889232000439.922,929031695700.6987,917359431188.6384,908114032847.1495
China,CHN,6184692075805.858,6845540544562.703,7564720759365.793,8570928094777.867,9897121011393.531,11430221364973.438,13459113989305.896,16267752736894.57,19253527492042.88,21543493122296.797,25021467203380.74,29156377775498.78,32932141444425.94,36562487952445.9,40074614681538.91,41589542922812.414
Colombia,COL,486610539416.34863,497298738406.4053,508562954102.0909,524869955102.7862,582926296848.7937,661900596960.2073,733524265596.2714,847666300019.3689,936999083845.7775,965317896622.052,1079903595910.9886,1215648612390.3591,1317061940212.4011,1421931328308.8354,1479792207032.1206,1378044699035.6436
Comoros,COM,1954845627.0011063,2032053731.3739145,2143162038.6122441,2398210123.329372,2657273896.9367046,2832415793.457434,2997085823.441302,3178642350.7921705,3462359146.670594,3595419430.7770953,3691909360.8517466,3943913281.751482,4118763721.789805,4336503679.573693,4517476794.148576,4324889549.823321
"Congo, Dem. Rep.",COD,57908112938.28175,45839153532.410324,49783553709.268684,52209060076.270706,57256789078.31774,61220550147.89504,68704174078.579704,76695293096.58861,84471026108.7993,87828063681.5769,87469798970.2642,97108752794.4654,105607983178.48967,118516606599.54417,132907897117.68225,144221296595.761
"Congo, Rep.",COG,17904037345.00401,18419709383.69507,19871380646.952213,21526263815.30709,24407049698.22245,29352603778.632183,35734184375.45983,34839565989.16073,41512942682.30241,44011970996.78851,49640903888.94534,52392311385.66875,64503128739.29664,68505062949.47083,72823621631.61674,59422797017.66771
Costa Rica,CRI,63712598201.92165,67226202895.75258,70286447992.77872,75033511840.91322,80895884860.76479,87390477741.61525,97474905015.6796,111531196148.33127,123015206257.39194,121976368180.21625,136626036918.1039,151872384676.60382,171625395051.33954,185620783148.1847,197127038917.08887,213564924437.96753
Cote d'Ivoire,CIV,71366266249.70407,70624753568.68579,72225597784.59514,76393952520.89926,85597065300.01067,92715669211.5735,98089499883.75604,105090051943.70027,115371617895.7602,121662314739.90575,124530126813.24066,122178884575.94237,128536102979.49423,143640216338.04993,203213954253.38644,214164234818.11707
Croatia,HRV,92774661792.3278,95396157977.44267,105764294162.49998,121308852834.28879,141365272575.91663,154410480148.86353,172597729146.4291,196324418421.50333,218124836198.99185,208476528437.13083,202984839586.01746,210831964355.2866,204356342650.5197,212333471065.56302,214269962241.75424,206052711415.31213
Cuba,CUB,59705075299.4695,62458925120.33247,65190915832.559494,70672983504.53154,77453164227.12517,87258925356.65372,98532409222.44144,107719701355.7686,113113233285.59578,114874693680.07957,117927544113.30048,132217439872.84126,141958082810.89178,152128554997.91602,157994659361.53247,169060258249.08902
Curacao,CUW,2120681523.775763,2143620201.080051,2160956183.6044154,2202290652.4680185,2237336703.8375115,8180390101.422783,8529096663.498895,8968464068.2448,9406147241.274397,9420270563.303387,9702558273.760138,9875714567.496716,9840696470.075745,9774497398.986471,9897840349.44728,9916874543.649948
Cyprus,CYP,33558526893.3762,35567378192.98534,38224243369.44863,44055454436.48448,50822512685.067566,56376681068.14468,61729059790.670944,70127100041.53172,95130530117.83324,142204260909.88022,112542294339.96805,132892017788.53166,154156149214.45337,104468320588.0228,137761669019.89597,113790249479.92856
Czechia,CZE,291116361331.9296,308867940174.69507,330885736672.3072,376792021539.75073,431315208944.02783,483275650853.64276,534037196839.5773,613696122207.2773,710629410296.549,678929574216.2294,690018118822.8286,718261983631.1177,707286872291.3997,729588092735.9636,734001379517.1864,720618707991.3905
Denmark,DNK,516405366793.8171,502763014735.67456,511071683200.16156,572794408620.637,652979440015.6622,740271064062.5194,790563784530.1321,860390169197.838,941104487892.4814,891138978502.3435,907341156964.5452,959032686187.1321,919019095817.4869,982177886787.3427,1005145712390.9745,941581995819.3776
Djibouti,DJI,851654527.2971193,874711899.4790275,952347668.4237839,1023346790.5190161,1131924516.7597857,1201055218.8485374,1341124167.3801153,1663528725.7674298,1850377393.092972,1954517991.6632884,1909729546.8719454,2022497887.1189802,2169419988.2001595,6582377920.480683,7224598433.481686,10564821629.701323
